currency,currency_name,rate_to_eur
€,Euro,1.0
£,British Pound,1.1613
kr,Scandinavian Krone,0.0955
$,US Dollar,0.9009
CHF,Swiss Franc,0.9174
AU $,Australian Dollar,0.6173
CAD $,Canadian Dollar,0.6803
Kč,Czech Koruna,0.0392
Ft,Hungarian Forint,0.003
zł,Polish Zloty,0.2326
MXN $,Mexican Peso,0.0466
SGD $,Singapore Dollar,0.6623
CLP,Chilean Peso,0.001176
лв.,Bulgarian Lev,0.5113
kn,Croatian Kuna,0.1337
NZD $,New Zealand Dollar,0.5831
₺,Turkish Lira,0.1563
COP $,Colombian Peso,0.000272
PEN S/.,Peruvian Sol,0.2703
₱,Philippine Peso,0.0177
din.,Serbian Dinar,0.0085
HKD $,Hong Kong Dollar,0.1151
₫,Vietnamese Dong,0.0000392
GTQ Q,Guatemalan Quetzal,0.1176
Lei,Romanian Leu,0.2083
USD $,US Dollar,0.9009
CRC ₡,Costa Rican Colon,0.001587
￥,Japanese Yen,0.00826
₹,Indian Rupee,0.01266
UYU,Uruguayan Peso,0.0233
DOP $,Dominican Peso,0.0172
BOB Bs,Bolivian Boliviano,0.1299
R$,Brazilian Real,0.2151
₲,Paraguayan Guarani,0.000147
د.ك.‏,Kuwaiti Dinar,2.941
